stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,lat,lon
7422,07:50,06:57,133,19,15,0,43.084992,-89.267163
7492,07:45,06:57,133,19,15,900,43.098844,-89.261414
7547,07:41,06:57,133,19,15,1320,43.098902,-89.28836
7559,07:49,07:06,5,80,37,180,43.075212,-89.317998
7560,07:48,06:57,133,19,15,360,43.08587,-89.260753
7587,07:44,06:57,133,19,15,1080,43.099311,-89.269884
7620,07:47,06:57,133,19,15,540,43.092004,-89.26143
7633,07:39,06:57,133,19,15,1320,43.098649,-89.304884
7689,07:50,07:06,5,80,37,0,43.073425,-89.311433
7823,07:49,07:06,5,80,37,180,43.0767,-89.319896
7834,07:46,07:06,5,80,37,720,43.083356,-89.325035
7888,07:45,07:06,5,80,37,900,43.089178,-89.32925
7913,07:40,06:57,133,19,15,1320,43.098844,-89.293176
7944,07:48,06:57,133,19,15,360,43.089049,-89.260906
8100,07:20,06:55,160,58,57,1320,43.032042,-89.48917
8118,07:34,06:56,160,2,50,1320,43.037007,-89.477873
8119,07:43,06:56,160,2,50,1260,43.050073,-89.502639
8131,07:42,06:56,160,2,50,1320,43.046501,-89.50303
8134,07:45,06:57,133,19,38,900,43.0325,-89.461769
8137,07:46,06:56,160,2,57,720,43.010895,-89.492172
8138,07:28,06:56,160,2,57,1320,43.041823,-89.477643
8152,07:12,06:55,160,58,null,1320,43.046468,-89.48025
8162,07:24,06:55,160,58,null,1320,43.03875,-89.499702
8163,07:47,06:56,160,2,57,540,43.014916,-89.490634
8164,07:28,06:56,160,2,57,1320,43.041428,-89.48016
8166,07:40,06:56,160,2,50,1320,43.038678,-89.500146
8170,07:16,06:55,160,58,29,1320,43.043815,-89.487676
8184,07:43,06:56,160,2,57,1260,43.015428,-89.503302
8186,07:47,06:57,133,19,38,540,43.032015,-89.468222
8188,07:24,06:55,160,58,50,1320,43.039205,-89.502639
8196,07:39,06:56,160,2,57,1320,43.017617,-89.510064
8219,07:28,06:55,160,58,50,1320,43.046185,-89.49138
8224,07:36,06:56,160,2,57,1320,43.027135,-89.50582
8226,07:46,06:57,133,19,38,720,43.031989,-89.464792
8235,07:30,06:55,160,58,50,1320,43.046254,-89.479263
8236,07:14,06:55,160,58,29,1320,43.046043,-89.488974
8237,07:29,06:55,160,58,50,1320,43.046205,-89.488444
8241,07:31,06:55,160,58,null,1320,43.046282,-89.475511
8253,07:48,06:56,160,2,57,360,43.036581,-89.488434
8255,07:26,06:55,160,58,null,1320,43.046125,-89.502437
8274,07:27,06:56,160,2,57,1320,43.044277,-89.474227
8281,07:39,06:56,160,2,50,1320,43.032127,-89.49677
8297,07:33,06:55,160,12,52,1320,43.03228,-89.476537
8301,07:25,06:55,160,58,50,1320,43.04146,-89.504751
8310,07:46,06:56,160,2,50,720,43.046406,-89.496662
8319,07:49,06:56,160,2,57,180,43.039554,-89.485673
8323,07:49,06:56,160,2,57,180,43.038998,-89.48835
8352,07:36,06:56,160,2,50,1320,43.03209,-89.482915
8359,07:50,06:56,160,2,57,0,43.021428,-89.498609
8371,07:49,06:56,160,2,57,180,43.016219,-89.496531
8376,07:40,06:56,160,2,57,1320,43.016112,-89.511641
8404,07:46,06:57,133,19,38,720,43.031874,-89.462003
8409,07:44,06:56,160,2,50,1080,43.050102,-89.500344
8418,07:26,06:56,160,2,57,1320,43.045755,-89.473722
8427,07:29,06:55,160,58,50,1320,43.046234,-89.484384
8428,07:21,06:55,160,12,52,1320,43.031492,-89.476981
8452,07:34,06:56,160,2,50,1320,43.039307,-89.477838
8473,07:21,06:55,160,58,null,1320,43.032174,-89.493427
8474,07:44,06:57,133,19,38,1080,43.038794,-89.46123
8480,07:37,06:56,160,2,57,1320,43.02266,-89.505617
8484,07:19,06:55,160,58,29,1320,43.032133,-89.484704
8512,07:36,06:56,160,2,50,1320,43.032056,-89.477487
8531,07:28,06:55,160,58,50,1320,43.046166,-89.494034
8565,07:39,06:56,160,2,50,1320,43.035914,-89.496885
8572,07:37,06:56,160,2,57,1320,43.024396,-89.505607
8599,07:49,06:56,160,2,57,180,43.018323,-89.497335
8614,07:29,06:56,160,2,57,1320,43.039286,-89.48613
8616,07:48,06:57,133,19,38,360,43.032049,-89.473773
8626,07:17,06:55,160,58,29,1320,43.03891,-89.485907
8628,07:23,06:55,160,58,null,1320,43.039092,-89.496963
8634,07:33,06:56,160,2,57,1320,43.031957,-89.497301
8650,07:45,06:56,160,2,50,900,43.049826,-89.496086
8661,07:43,06:57,133,19,38,1260,43.038981,-89.464093
8664,07:30,06:56,160,2,57,1320,43.038864,-89.488646
8692,07:45,06:57,133,19,38,900,43.034398,-89.461524
8693,07:27,06:55,160,58,null,1320,43.046156,-89.496613
8712,07:36,06:56,160,2,50,1320,43.032073,-89.480102
8714,07:35,06:56,160,2,57,1320,43.030187,-89.507933
8718,07:44,06:56,160,2,57,1080,43.01276,-89.502645
8721,07:43,06:57,133,19,38,1260,43.038998,-89.467276
8735,07:50,06:56,160,2,57,0,43.04105,-89.485551
8742,07:40,06:57,133,19,38,1320,43.043579,-89.473609
8747,07:46,06:56,160,2,57,720,43.01283,-89.490706
8757,07:22,06:55,160,58,null,1320,43.036185,-89.492789
8769,07:26,06:55,160,58,50,1320,43.044075,-89.503459
8782,07:18,06:55,160,58,29,1320,43.036073,-89.48435
8796,07:35,06:56,160,2,50,1320,43.033596,-89.477328
8816,07:11,06:55,160,58,null,1320,43.046497,-89.475882
8826,07:50,06:57,133,19,38,0,43.031532,-89.488973
