stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,initial_walk_time,radius_ft
6476,12:57,12:19,178,70,null,4,540
6506,12:29,12:12,178,15,null,4,1320
6519,12:53,12:12,178,15,73,4,1260
6527,12:49,12:12,178,15,73,4,1320
6533,12:42,12:12,178,15,67,4,1320
6541,12:48,12:19,542,3,null,7,1320
6551,12:45,12:12,178,15,null,4,1320
6560,12:40,12:19,178,70,null,4,1320
6569,12:33,12:19,178,70,null,4,1320
6570,12:34,12:12,178,15,null,4,1320
6582,12:41,12:19,178,70,null,4,1320
6605,12:48,12:12,178,15,73,4,1320
6628,12:43,12:19,178,70,null,4,1320
6651,12:36,12:19,178,70,null,4,1320
6653,12:37,12:19,178,70,null,4,1320
6656,12:55,12:19,178,70,null,4,900
6667,12:54,12:12,178,15,73,4,1080
6676,12:42,12:19,178,70,null,4,1320
6678,12:26,12:12,178,15,null,4,1320
6681,12:37,12:12,178,15,null,4,1320
6684,12:46,12:19,178,70,null,4,1320
6689,12:51,12:12,178,15,73,4,1320
6691,12:35,12:19,178,70,null,4,1320
6728,12:35,12:19,542,3,null,7,1320
6767,12:41,12:12,178,15,null,4,1320
6771,12:47,12:19,542,3,null,7,1320
6780,12:31,12:12,178,15,null,4,1320
6784,12:28,12:12,178,15,null,4,1320
6787,12:43,12:12,178,15,67,4,1320
6798,12:52,12:19,178,70,null,4,1320
6805,12:51,12:19,178,70,null,4,1320
6811,12:53,12:12,178,15,73,4,1260
6814,12:36,12:12,178,15,null,4,1320
6823,12:50,12:12,178,15,73,4,1320
6827,12:40,12:12,178,15,null,4,1320
6838,13:00,12:19,160,70,73,1,0
6848,12:39,12:12,178,15,null,4,1320
6852,12:47,12:19,178,70,null,4,1320
6853,12:48,12:19,178,70,null,4,1320
6854,12:31,12:12,178,15,null,4,1320
6856,12:50,12:19,178,70,null,4,1320
6878,12:39,12:19,178,70,null,4,1320
6883,12:47,12:12,178,15,67,4,1320
6885,12:52,12:19,178,70,null,4,1320
6901,12:38,12:19,178,70,null,4,1320
6902,12:33,12:12,178,15,null,4,1320
6903,12:48,12:12,178,15,67,4,1320
6910,12:32,12:12,178,15,null,4,1320
6923,12:43,12:12,178,15,null,4,1320
6924,12:53,12:19,178,70,null,4,1260
6925,12:45,12:12,178,15,null,4,1320
6929,12:49,12:19,178,70,null,4,1320
6931,12:52,12:12,178,15,73,4,1320
6941,12:50,12:12,178,15,67,4,1320
6958,12:56,12:19,178,70,null,4,720
6965,13:00,12:19,178,70,null,4,0
6972,12:35,12:12,178,15,null,4,1320
6981,12:52,12:12,178,15,73,4,1320
7100,12:45,12:04,809,3,null,2,1320
7101,12:37,12:04,809,3,null,2,1320
7129,12:52,12:06,581,3,17,6,1320
7131,12:51,12:06,581,3,5,6,1320
7132,12:54,12:06,581,3,5,6,1080
7144,12:57,12:06,581,3,5,6,540
7167,12:47,12:04,809,3,null,2,1320
7168,12:54,12:06,581,3,17,6,1080
7169,12:46,12:04,809,3,null,2,1320
7182,12:49,12:06,581,3,5,6,1320
7194,12:56,12:06,581,3,5,6,720
7199,12:55,12:06,581,3,17,6,900
7209,12:48,12:04,809,3,null,2,1320
7232,12:56,12:06,581,3,5,6,720
7235,12:53,12:06,581,3,17,6,1260
7277,12:55,12:06,581,3,17,6,900
7296,12:49,12:06,581,3,5,6,1320
7304,12:48,12:06,581,3,17,6,1320
7331,12:59,12:06,581,3,17,6,180
7348,12:54,12:06,581,3,5,6,1080
7374,12:49,12:06,581,3,17,6,1320
7391,12:56,12:06,581,3,17,6,720
7402,12:55,12:06,581,3,5,6,900
7417,12:58,12:06,581,3,17,6,360
7490,12:50,12:06,581,3,17,6,1320
7514,12:46,12:06,581,3,17,6,1320
7559,12:51,12:06,581,3,17,6,1320
7569,12:59,12:06,581,3,17,6,180
7583,13:00,12:06,581,3,17,6,0
7617,12:57,12:06,581,3,17,6,540
7633,12:48,12:04,809,3,null,2,1320
7638,12:48,12:06,581,3,17,6,1320
7640,12:55,12:06,581,3,5,6,900
7658,12:50,12:06,581,3,17,6,1320
7670,12:50,12:06,581,3,17,6,1320
7689,12:52,12:06,581,3,17,6,1320
7694,12:54,12:06,581,3,5,6,1080
7706,12:47,12:06,581,3,17,6,1320
7716,12:53,12:06,581,3,5,6,1260
7782,12:48,12:06,581,3,17,6,1320
7815,12:58,12:06,581,3,17,6,360
